time, height, speed, acceleration, user_data
15.310255, 1.000000, 0.000002, 9.810000, 1.000000
15.320255, 1.000000, 0.000002, 9.810000, 1.000000
15.330256, 1.000000, 0.000002, 9.810000, 1.000000
15.340256, 1.000000, 0.000002, 9.810000, 1.000000
15.350256, 1.000000, 0.000002, 9.810000, 1.000000
15.360256, 1.000000, 0.000002, 9.810000, 1.000000
15.370256, 1.000000, 0.000002, 9.810000, 1.000000
15.380257, 1.000000, 0.000002, 9.810000, 1.000000
15.390257, 1.000000, 0.000002, 9.810000, 1.000000
15.400257, 1.000000, 0.000002, 9.810000, 1.000000
15.410257, 1.000000, 0.000002, 9.810000, 1.000000
15.420258, 1.000000, 0.000002, 9.810000, 1.000000
15.430258, 1.000000, 0.000002, 9.810000, 1.000000
15.440258, 1.000000, 0.000002, 9.810000, 1.000000
15.450258, 1.000000, 0.000002, 9.810000, 1.000000
15.460258, 1.000000, 0.000002, 9.810000, 1.000000
15.470259, 1.000000, 0.000002, 9.810000, 1.000000
15.480259, 1.000000, 0.000002, 9.810000, 1.000000
15.490259, 1.000000, 0.000002, 9.810000, 1.000000
15.500259, 1.000000, 0.000002, 9.810000, 1.000000
15.510260, 1.000000, 0.000002, 9.810000, 1.000000
15.520260, 1.000000, 0.000002, 9.810000, 1.000000
15.530260, 1.000000, 0.000002, 9.810000, 1.000000
15.540260, 1.000000, 0.000002, 9.810000, 1.000000
15.550261, 1.000000, 0.000002, 9.810000, 1.000000
15.560261, 1.000000, 0.000002, 9.810000, 1.000000
15.570261, 1.000000, 0.000002, 9.810000, 1.000000
15.580261, 1.000000, 0.000002, 9.810000, 1.000000
15.590261, 1.000000, 0.000002, 9.810000, 1.000000
15.600262, 1.000000, 0.000002, 9.810000, 1.000000
15.610262, 1.000000, 0.000002, 9.810000, 1.000000
15.620262, 1.000000, 0.000002, 9.810000, 1.000000
